company_name,rating,designation,type,location,benefits,jobs_count,interviews_count,salary,reviews_count
Synchrony,4.2,Data Analyst,Financial Services,Hyderabad,197.0,17.0,88.0,5400.0,1200.0
EPAM Systems,3.7,Data Analyst,IT Services & Consulting,Hyderabad,132.0,44.0,604.0,21100.0,1900.0
Optum Global Solutions,4.0,Data Analyst,IT Services & Consulting,Hyderabad,686.0,60.0,746.0,48400.0,7700.0
Spinny,3.7,Data Analyst,Internet,Gurgaon,101.0,40.0,198.0,7200.0,1900.0
Intel,4.1,Data Analyst,Semiconductors,Bangalore,91.0,30.0,236.0,8800.0,1200.0
Deutsche Bank,3.8,Data Analyst,Banking,Pune,399.0,330.0,415.0,35900.0,4300.0
KrazyBee,3.7,Data Analyst,Internet,Bangalore,21.0,11.0,16.0,1800.0,364.0
Maersk,4.0,Data Analyst,Logistics,Chennai,420.0,24.0,244.0,18900.0,3700.0
Johnson Controls,3.5,Data Analyst,Industrial Automation,Pune,266.0,2.0,300.0,17300.0,3400.0
IQVIA,3.7,Data Analyst,Clinical Research,Bangalore,524.0,10.0,538.0,30600.0,5100.0
Caterpillar Inc,4.1,Data Analyst,Industrial Machinery,Chennai,134.0,79.0,203.0,10400.0,1600.0
Cisco,4.1,Data Analyst,Hardware & Networking,Bangalore,223.0,146.0,402.0,18700.0,2100.0
NeenOpal Intelligent Solutions,3.1,Data Analyst,,Bangalore,1.0,0.0,16.0,230.0,21.0
Grey Orange,3.0,Data Analyst,Software Product,Gurgaon,49.0,16.0,44.0,2200.0,386.0
LendingKart,3.5,Data Analyst,NBFC,Ahmedabad,22.0,5.0,37.0,2600.0,532.0
LatentView Analytics,3.5,Data Analyst,IT Services & Consulting,Chennai,20.0,6.0,73.0,2900.0,291.0
Mobikwik,3.5,Data Analyst,FinTech,Gurgaon,27.0,27.0,60.0,2400.0,502.0
Mu Sigma,2.5,Data Analyst,Analytics & KPO,Bangalore,120.0,0.0,248.0,6700.0,1200.0
Ford Business Solutions,4.1,Data Analyst,IT Services & Consulting,Chennai,28.0,21.0,52.0,4000.0,817.0
SAP,4.1,Data Analyst,Software Product,Bangalore,284.0,201.0,312.0,17200.0,1900.0
DBS Bank,3.7,Data Analyst,Banking,Hyderabad,192.0,190.0,190.0,12800.0,2500.0
Meesho,3.7,Data Analyst,Internet,Bangalore,297.0,94.0,418.0,9200.0,2100.0
Saint-Gobain,3.9,Data Analyst,Building Material,Mumbai,243.0,95.0,201.0,11300.0,2000.0
Turing,3.1,Data Analyst,Analytics & KPO,Bangalore,4.0,9.0,107.0,1400.0,271.0
RBL Bank,3.5,Data Analyst,Banking,Mumbai,221.0,52.0,231.0,18300.0,3900.0
Wakefit,4.0,Data Analyst,Furniture & Furnishing,Bangalore,26.0,23.0,75.0,2800.0,842.0
Evalueserve,3.1,Data Analyst,Analytics & KPO,Gurgaon,136.0,73.0,140.0,10300.0,1500.0
Mapup,3.0,Data Analyst,,New Delhi,1.0,15.0,10.0,103.0,42.0
ITC,3.9,Data Analyst,FMCG,Bangalore,638.0,76.0,674.0,24200.0,7000.0
Coding Ninjas,3.7,Data Analyst,EdTech,Gurgaon,4.0,3.0,57.0,1300.0,334.0
Merck Life Science,4.0,Data Analyst,Pharma,Bangalore,29.0,2.0,20.0,2700.0,370.0
Orange Business,4.2,Data Analyst,IT Services & Consulting,Gurgaon,237.0,10.0,111.0,8900.0,1600.0
HDFC Ergo General Insurance,4.0,Data Analyst,Insurance,Mumbai,273.0,12.0,191.0,12000.0,4000.0
Bread Financial,3.9,Data Analyst,FinTech,Bangalore,3.0,27.0,24.0,1500.0,227.0
Brillio,3.4,Data Analyst,IT Services & Consulting,Bangalore,76.0,16.0,141.0,10200.0,1300.0
Koch Business Solutions,3.2,Data Analyst,IT Services & Consulting,Bangalore,44.0,1.0,66.0,4900.0,687.0
KPMG Global Services,3.5,Data Analyst,Management Consulting,Bangalore,6.0,9.0,250.0,23400.0,2600.0
Deloitte,3.7,Data Analyst,Management Consulting,Hyderabad,2400.0,1100.0,3200.0,250000.0,22300.0
MagicPin,2.5,Data Analyst,Internet,Gurgaon,26.0,17.0,61.0,1900.0,462.0
KPMG India,3.4,Data Analyst,Management Consulting,Bangalore,749.0,50.0,909.0,64500.0,7000.0
Bosch Global Software Technologies,3.7,Data Analyst,IT Services & Consulting,Bangalore,625.0,8.0,382.0,39900.0,5500.0
JLL,4.1,Data Analyst,Real Estate,Gurgaon,539.0,193.0,474.0,24100.0,6200.0
Amazon Web Services,3.8,Data Analyst,IT Services & Consulting,Bangalore,80.0,0.0,184.0,6300.0,952.0
Ipsos,3.2,Data Analyst,Analytics & KPO,Mumbai,22.0,11.0,42.0,2400.0,395.0
Capco Technologies,3.8,Data Analyst,IT Services & Consulting,Bangalore,46.0,147.0,89.0,4700.0,646.0
Lithium Urban Technologies,3.6,Data Analyst,Urban Transport,Bangalore,5.0,2.0,9.0,662.0,178.0
Fiserv,2.9,Data Analyst,FinTech,Pune,311.0,4.0,193.0,17600.0,2800.0
Chubb,3.4,Data Analyst,Insurance,Hyderabad,16.0,4.0,63.0,2900.0,274.0
Chryselys,3.7,Data Analyst,Analytics & KPO,Hyderabad,5.0,21.0,5.0,270.0,38.0
Institutional Shareholder Services,3.5,Data Analyst,Analytics & KPO,Mumbai,8.0,4.0,23.0,1200.0,135.0
MathCo,3.0,Data Analyst,Analytics & KPO,Bangalore,22.0,9.0,132.0,2800.0,463.0
Altimetrik,3.6,Data Analyst,IT Services & Consulting,Bangalore,107.0,50.0,256.0,11300.0,1400.0
Galytix Analytics,2.1,Data Analyst,Analytics & KPO,Gurgaon,4.0,8.0,11.0,245.0,66.0
SagasIT Analytics,4.2,Data Analyst,,Bangalore,1.0,0.0,2.0,70.0,6.0
Clarivate,3.7,Data Analyst,Analytics & KPO,Bangalore,47.0,82.0,92.0,6300.0,796.0
Protiviti,3.1,Data Analyst,Management Consulting,Gurgaon,25.0,18.0,68.0,4800.0,700.0
Paytm Payments Bank,3.8,Data Analyst,Banking,Noida,116.0,2.0,138.0,5800.0,1400.0
Reliance Industries,4.0,Data Analyst,Oil & Gas,Jamnagar,1800.0,51.0,1500.0,72800.0,19700.0
Cult.fit,3.6,Data Analyst,Fitness & Wellness,Bangalore,77.0,147.0,77.0,4000.0,973.0
NxtWave,3.4,Data Analyst,EdTech,Hyderabad,13.0,557.0,243.0,2800.0,1100.0
Cartesian Consulting,3.3,Data Analyst,Management Consulting,Bangalore,5.0,0.0,14.0,473.0,61.0
iOPEX Technologies,3.2,Data Analyst,IT Services & Consulting,Chennai,530.0,33.0,85.0,5800.0,1500.0
Ola Electric Mobility,3.3,Data Analyst,Automobile,Bangalore,76.0,0.0,291.0,9200.0,2900.0
AXIS MY INDIA,2.8,Data Analyst,Analytics & KPO,Mumbai,13.0,3.0,19.0,474.0,280.0
Citco,3.1,Data Analyst,Management Consulting,Pune,49.0,45.0,166.0,8800.0,1300.0
Zoho,4.2,Data Analyst,Software Product,Chennai,101.0,0.0,575.0,9200.0,1200.0
Tata Technologies,3.5,Data Analyst,Engineering & Construction,Pune,308.0,105.0,306.0,22500.0,3200.0
CARS24,3.4,Data Analyst,Internet,Gurgaon,410.0,143.0,402.0,15400.0,4500.0
Helmerich & Payne,3.8,Data Analyst,,Bangalore,17.0,1.0,9.0,1700.0,208.0
NCR Corporation,3.5,Data Analyst,IT Services & Consulting,Hyderabad,173.0,36.0,142.0,9200.0,1900.0
Amdocs,3.6,Data Analyst,Software Product,Pune,614.0,9.0,560.0,37400.0,4700.0
Salesforce,3.9,Data Engineer,Software Product,Hyderabad,104.0,153.0,243.0,12500.0,1100.0
Google,4.4,Data Engineer,Software Product,Bangalore,132.0,594.0,993.0,30800.0,1900.0
Atlassian,3.1,Data Engineer,Software Product,Bangalore,4.0,63.0,95.0,3800.0,163.0
Apple,4.3,Data Engineer,Consumer Electronics & Appliances,Bangalore,51.0,284.0,162.0,5000.0,680.0
Snowflake,3.5,Data Engineer,Software Product,Pune,1.0,0.0,12.0,418.0,35.0
Xpo Logistics,3.4,Data Engineer,Logistics,Mumbai,24.0,0.0,14.0,1200.0,164.0
Intuit,3.3,Data Engineer,IT Services & Consulting,Bangalore,14.0,0.0,83.0,2600.0,230.0
Expedia Group,3.7,Data Engineer,Internet,Gurgaon,27.0,13.0,85.0,3300.0,364.0
Microsoft Corporation,3.7,Data Engineer,Software Product,Bangalore,196.0,0.0,604.0,28600.0,2100.0
bp,3.8,Data Engineer,Oil & Gas,Pune,22.0,9.0,81.0,3700.0,602.0
Maersk,4.0,Data Engineer,Logistics,Chennai,420.0,24.0,244.0,18900.0,3700.0
American Broadcasting Company,4.0,Data Engineer,,Bangalore,9.0,12.0,584.0,32900.0,1700.0
Databricks,3.2,Data Engineer,IT Services & Consulting,Bangalore,1.0,78.0,13.0,466.0,32.0
Parkar Digital,3.0,Data Engineer,IT Services & Consulting,Pune,3.0,21.0,3.0,379.0,62.0
Uber,4.2,Data Engineer,Internet,Hyderabad,102.0,48.0,166.0,8000.0,1000.0
Deutsche Bank,3.8,Data Engineer,Banking,Pune,399.0,330.0,415.0,35900.0,4300.0
Walmart,3.5,Data Engineer,Retail,Bangalore,319.0,146.0,434.0,22000.0,3100.0
PayPal,3.8,Data Engineer,FinTech,Bangalore,120.0,0.0,234.0,9300.0,1100.0
JPMorgan Chase & Co.,3.8,Data Engineer,Financial Services,Bangalore,844.0,679.0,848.0,84500.0,7500.0
Amazon,3.9,Data Engineer,Internet,Bangalore,4100.0,1500.0,5700.0,150000.0,30600.0
Morgan Stanley,3.6,Data Engineer,Financial Services,Mumbai,151.0,14.0,329.0,25600.0,2000.0
Citicorp,3.7,Data Engineer,Financial Services,Pune,517.0,0.0,616.0,51800.0,5400.0
"Commonwealth Bank of Australia, India",2.9,Data Engineer,Financial Services,Bangalore,48.0,4.0,109.0,7400.0,854.0
Advance Auto Parts,3.5,Data Engineer,Auto Components,Hyderabad,20.0,0.0,11.0,1100.0,140.0
Ford Motor,4.2,Data Engineer,Automobile,Chennai,397.0,1.0,173.0,15100.0,3400.0
Razorpay,3.4,Data Engineer,FinTech,Bangalore,40.0,62.0,168.0,6100.0,678.0
McKinsey & Company,3.8,Data Engineer,Management Consulting,Gurgaon,63.0,4.0,246.0,8300.0,705.0
MasterCard,3.9,Data Engineer,FinTech,Pune,100.0,383.0,162.0,11100.0,936.0
Shell,3.9,Data Engineer,Oil & Gas,Bangalore,257.0,2.0,228.0,13700.0,2700.0
BNY,3.7,Data Engineer,Financial Services,Pune,527.0,1.0,390.0,30700.0,5100.0
Adobe,3.8,Data Engineer,Software Product,Bangalore,150.0,140.0,261.0,12200.0,1300.0
Cardinal Health,4.0,Data Engineer,Pharma,Bangalore,14.0,12.0,33.0,1200.0,231.0
SAP,4.1,Data Engineer,Software Product,Bangalore,284.0,201.0,312.0,17200.0,1900.0
Cisco,4.1,Data Engineer,Hardware & Networking,Bangalore,223.0,146.0,402.0,18700.0,2100.0
Koch Business Solutions,3.2,Data Engineer,IT Services & Consulting,Bangalore,44.0,1.0,66.0,4900.0,687.0
Test Yantra Software Solutions,3.0,Data Engineer,IT Services & Consulting,Bangalore,129.0,9.0,143.0,25300.0,902.0
AT&T,3.9,Data Engineer,Telecom,Bangalore,58.0,48.0,65.0,4400.0,503.0
Sanofi,4.0,Data Engineer,Pharma,Hyderabad,163.0,38.0,93.0,5400.0,1500.0
Adidas,3.9,Data Engineer,Fashion & Textile,Gurgaon,60.0,26.0,80.0,3700.0,722.0
Globant,3.4,Data Engineer,IT Services & Consulting,Pune,100.0,52.0,200.0,9800.0,1200.0
Allstate,3.7,Data Engineer,Insurance,Pune,186.0,5.0,154.0,12100.0,2100.0
ABC Consultants,3.9,Data Engineer,Recruitment,Bangalore,23.0,1.0,239.0,25300.0,418.0
Visa,3.3,Data Engineer,FinTech,Bangalore,39.0,49.0,156.0,6200.0,463.0
ION Group,2.9,Data Engineer,Software Product,Noida,5.0,49.0,112.0,1600.0,218.0
7 Eleven,3.4,Data Engineer,Retail,Bangalore,7.0,0.0,27.0,1100.0,138.0
Kapitus,4.7,Data Engineer,FinTech,Chennai,0.0,0.0,3.0,205.0,14.0
Target,4.1,Data Engineer,Retail,Bangalore,86.0,107.0,135.0,6500.0,871.0
Verizon,3.6,Data Engineer,Telecom,Hyderabad,200.0,0.0,127.0,11400.0,1800.0
Standard Chartered,3.6,Data Engineer,Banking,Chennai,305.0,0.0,317.0,41900.0,5600.0
UBS,3.8,Data Engineer,Financial Services,Pune,117.0,1.0,369.0,31300.0,3400.0
American Express,4.1,Data Engineer,Financial Services,Gurgaon,435.0,99.0,418.0,24500.0,3800.0
Siemens Healthineers,4.0,Data Engineer,Healthcare,Bangalore,48.0,0.0,67.0,3900.0,483.0
NatWest Group,4.0,Data Engineer,Banking,Gurgaon,362.0,14.0,233.0,20700.0,3200.0
Maersk Line,4.0,Data Engineer,Logistics,Pune,64.0,0.0,33.0,2400.0,486.0
Telstra,3.9,Data Engineer,Telecom,Bangalore,25.0,0.0,57.0,2800.0,318.0
ValueLabs,3.5,Data Engineer,IT Services & Consulting,Hyderabad,266.0,68.0,210.0,16000.0,2100.0
John Deere,4.0,Data Engineer,Industrial Machinery,Pune,417.0,1.0,264.0,15200.0,4000.0
PayU Payments,3.4,Data Engineer,FinTech,Gurgaon,49.0,116.0,63.0,4100.0,559.0
Micro Labs,3.6,Data Engineer,Pharma,Bangalore,205.0,11.0,150.0,9700.0,2700.0
Oracle,3.5,Data Engineer,Software Product,Bangalore,617.0,1100.0,941.0,62200.0,6200.0
PepsiCo,4.0,Data Engineer,Food Processing,Hyderabad,244.0,295.0,233.0,13200.0,3100.0
VMware Software,4.4,Data Engineer,Software Product,Bangalore,129.0,14.0,145.0,9100.0,1100.0
Volkswagen Group Technology Solution,3.9,Data Engineer,IT Services & Consulting,Pune,15.0,77.0,75.0,4300.0,686.0
ANZ Banking Group,3.8,Data Engineer,Banking,Bangalore,102.0,8.0,105.0,8000.0,1200.0
Fractal Analytics,4.0,Data Engineer,Analytics & KPO,Bangalore,104.0,55.0,222.0,10200.0,986.0
GlaxoSmithKline Pharmaceuticals,4.0,Data Engineer,Pharma,Bangalore,112.0,30.0,124.0,5700.0,2200.0
Gartner,3.8,Data Engineer,Management Consulting,Gurgaon,23.0,36.0,95.0,6300.0,684.0
AB InBev India,3.3,Data Engineer,Beverage,Bangalore,144.0,70.0,110.0,7800.0,1400.0
Cargill,3.9,Data Engineer,Food Processing,Bangalore,148.0,353.0,109.0,8300.0,2100.0
Blue Yonder,3.6,Data Engineer,Software Product,Bangalore,67.0,151.0,68.0,6800.0,663.0
NetApp,3.7,Data Engineer,IT Services & Consulting,Bangalore,35.0,179.0,73.0,4000.0,434.0
EPAM Systems,3.7,Data Engineer,IT Services & Consulting,Hyderabad,132.0,44.0,604.0,21100.0,1900.0
TIAA Global Business Services,3.7,Data Engineer,Financial Services,Pune,122.0,3.0,51.0,5000.0,650.0
Flipkart,3.9,Data Engineer,Internet,Bangalore,1400.0,164.0,1600.0,54100.0,12600.0
HARMAN,3.8,Data Engineer,Consumer Electronics & Appliances,Bangalore,100.0,108.0,289.0,24000.0,3300.0
Emids Technologies Limited,3.6,Data Engineer,IT Services & Consulting,Bangalore,67.0,18.0,49.0,5100.0,610.0
Swiss Re,3.8,Data Engineer,Insurance,Bangalore,29.0,223.0,44.0,2700.0,340.0
Xebia,3.1,Data Engineer,IT Services & Consulting,Gurgaon,224.0,14.0,90.0,5900.0,936.0
Sapiens,3.2,Data Engineer,Software Product,Bangalore,64.0,4.0,66.0,5200.0,575.0
kipi.ai,3.8,Data Engineer,IT Services & Consulting,Bangalore,3.0,1.0,60.0,1200.0,283.0
AIRBUS,3.6,Data Engineer,Aviation,Bangalore,40.0,0.0,77.0,4400.0,429.0
Bayer,4.0,Data Engineer,Pharma,Bangalore,132.0,0.0,57.0,4100.0,897.0
Goldman Sachs,3.4,Data Engineer,Financial Services,Bangalore,100.0,229.0,406.0,19200.0,1500.0
BCG,3.7,Data Engineer,Management Consulting,Gurgaon,39.0,17.0,213.0,7400.0,484.0
Xyz Company,3.8,Data Engineer,Financial Services,Bangalore,63.0,0.0,517.0,42500.0,1200.0
BT Business,3.9,Data Engineer,Telecom,Gurgaon,260.0,0.0,90.0,9000.0,1700.0
Bahwan CyberTek,3.4,Data Engineer,IT Services & Consulting,Chennai,24.0,254.0,53.0,4600.0,684.0
Aon,3.8,Data Engineer,Management Consulting,Gurgaon,203.0,47.0,83.0,5900.0,1400.0
Tiger Analytics,3.7,Data Engineer,IT Services & Consulting,Bangalore,31.0,56.0,244.0,8600.0,932.0
Micron Technology,3.6,Data Engineer,Semiconductors,Hyderabad,30.0,17.0,80.0,4300.0,487.0
Artefact,2.3,Data Engineer,Management Consulting,Pune,0.0,0.0,2.0,56.0,6.0
Paytm Payments Bank,3.8,Data Engineer,Banking,Noida,116.0,2.0,138.0,5800.0,1400.0
MSCI,3.7,Data Engineer,Financial Services,Mumbai,23.0,172.0,56.0,3400.0,359.0
Blackrock,3.6,Data Engineer,Financial Services,Gurgaon,62.0,0.0,119.0,6500.0,573.0
Takeda Pharmaceutical,3.4,Data Engineer,Pharma,Bangalore,5.0,0.0,7.0,649.0,56.0
National Australia Bank,2.9,Data Engineer,Banking,Gurgaon,4.0,17.0,55.0,3200.0,454.0
Lowe's,4.1,Data Engineer,Retail,Bangalore,125.0,62.0,149.0,9700.0,951.0
Amazon Development Centre India,3.8,Data Engineer,Internet,Hyderabad,20.0,6.0,867.0,38200.0,7400.0
S&P Global,4.0,Data Engineer,Analytics & KPO,Hyderabad,212.0,247.0,325.0,20100.0,3100.0
General Mills,4.1,Data Engineer,Food Processing,Mumbai,119.0,7.0,77.0,4900.0,941.0
Rockwell Automation,3.7,Data Engineer,Industrial Automation,Pune,73.0,47.0,85.0,5500.0,788.0
Novo Nordisk,3.6,Data Engineer,Pharma,Bangalore,129.0,154.0,95.0,6300.0,1300.0
Zorba,2.3,Data Engineer,,Mumbai,1.0,0.0,0.0,70.0,4.0
Barclays,3.7,Data Engineer,Banking,Pune,253.0,0.0,306.0,30900.0,3200.0
Amgen,2.8,Data Engineer,Biotechnology,Hyderabad,3.0,981.0,18.0,1600.0,64.0
Autodesk,4.0,Data Engineer,Software Product,Bangalore,25.0,5.0,46.0,2800.0,281.0
Volvo,4.0,Data Engineer,Automobile,Bangalore,89.0,3.0,76.0,5300.0,897.0
Publicis Sapient,3.4,Data Engineer,IT Services & Consulting,Bangalore,391.0,252.0,684.0,30900.0,3800.0
State Street Corporation,3.5,Data Engineer,Financial Services,Bangalore,261.0,9.0,281.0,31300.0,3900.0
3M,4.0,Data Engineer,Electronics Manufacturing,Bangalore,63.0,88.0,39.0,3100.0,624.0
Annalect,3.4,Data Engineer,Marketing & Advertising,Bangalore,18.0,0.0,82.0,4100.0,599.0
DBS Bank,3.7,Data Engineer,Banking,Hyderabad,192.0,190.0,190.0,12800.0,2500.0
ThoughtWorks,3.9,Data Engineer,IT Services & Consulting,Bangalore,48.0,3.0,168.0,6400.0,603.0
Wells Fargo,3.7,Data Engineer,Financial Services,Bangalore,855.0,80.0,673.0,55100.0,8200.0
NIKE,4.0,Data Engineer,Retail,Bangalore,22.0,3.0,45.0,2200.0,326.0
Nestlé,3.8,Data Engineer,FMCG,Gurgaon,319.0,11.0,276.0,9600.0,2700.0
Schlumberger,3.8,Data Engineer,Oil & Gas,Pune,112.0,18.0,153.0,5300.0,891.0
Bot Consulting,4.3,Data Engineer,,Jaipur,0.0,16.0,0.0,66.0,2.0
Eli Lilly and Company,3.5,Data Engineer,Pharma,Bangalore,62.0,55.0,80.0,4400.0,565.0
ANZ Operations & Technology,3.8,Data Engineer,Financial Services,Bangalore,37.0,0.0,30.0,2500.0,293.0
Merck,4.1,Data Engineer,Pharma,Bangalore,37.0,2.0,20.0,2500.0,383.0
IBM Consulting,3.8,Data Engineer,,Bangalore,8.0,0.0,40.0,1900.0,145.0
Noventiq,3.3,Data Engineer,,Mumbai,0.0,5.0,11.0,621.0,83.0
Optum Global Solutions,4.0,Data Engineer,IT Services & Consulting,Hyderabad,686.0,58.0,746.0,48400.0,7700.0
Bain & Company,3.8,Data Engineer,Management Consulting,Gurgaon,29.0,30.0,115.0,5400.0,333.0
Michelin,3.8,Data Engineer,Auto Components,Pune,110.0,32.0,63.0,4800.0,875.0
Statusneo,3.8,Data Engineer,IT Services & Consulting,Gurgaon,10.0,23.0,60.0,1400.0,330.0
Simelabs,2.8,Data Engineer,,Kochi,0.0,0.0,0.0,98.0,8.0
Ecolab Digital Center,3.5,Data Engineer,Chemicals,Bangalore,8.0,0.0,24.0,1500.0,177.0
Bristol-Myers Squibb,3.6,Data Engineer,Pharma,Hyderabad,9.0,161.0,32.0,1500.0,270.0
Rakuten,3.5,Data Engineer,IT Services & Consulting,Bangalore,47.0,16.0,95.0,5200.0,495.0
UnitedHealth,4.0,Data Engineer,Healthcare,Hyderabad,432.0,0.0,84.0,14600.0,2800.0
Baker Hughes,4.1,Data Engineer,Oil & Gas,Bangalore,58.0,44.0,65.0,4000.0,557.0
Sigmoid,3.5,Data Engineer,Analytics & KPO,Bangalore,9.0,58.0,73.0,2100.0,192.0
Anko,4.0,Data Engineer,IT Services & Consulting,Bangalore,12.0,14.0,11.0,813.0,88.0
Stonex,3.9,Data Engineer,Internet,New Delhi,16.0,11.0,29.0,1000.0,167.0
EXL Service,3.6,Data Engineer,Analytics & KPO,Noida,799.0,1400.0,883.0,43700.0,8400.0
KPMG Global Services,3.5,Data Engineer,Management Consulting,Bangalore,6.0,9.0,250.0,23400.0,2600.0
Clarivate,3.7,Data Engineer,Analytics & KPO,Bangalore,47.0,82.0,92.0,6300.0,796.0
NTT Data,3.8,Data Engineer,IT Services & Consulting,Bangalore,156.0,126.0,728.0,35600.0,5000.0
